Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Finance,All Cost Centres and Internal Order numbers,,TRUE,,Cost Centre,68xxx101 - Ed Delivery,,,,,
,,,TRUE,,Cost Centre,68xxx102 - Library,,,,,
,,,TRUE,,Cost Centre,68xxx104 - Student Welfare,,,,,
,,,TRUE,,Cost Centre,68xxx107 - Support Unit,,,,,
,,,TRUE,,Cost Centre,68xxx130 - English,,,,,
,,,TRUE,,Cost Centre,68xxx131 - Mathematics,,,,,
,,,TRUE,,Cost Centre,68xxx132 - Science,,,,,
,,,TRUE,,Cost Centre,68xxx133 - LOTE,,,,,
,,,TRUE,,Cost Centre,68xxx134 - HSIE,,,,,
,,,TRUE,,Cost Centre,68xxx135 - CAPA,,,,,
,,,TRUE,,Cost Centre,68xxx137 - Technology,,,,,
,,,TRUE,,Cost Centre,68xxx157 - TAS,,,,,
,,,TRUE,,Cost Centre,68xxx168 - PDHPE&S,,,,,
,,,TRUE,,Cost Centre,68xxx170 - Sport,,,,,
,,,TRUE,,Cost Centre,68xxx177 - Music,,,,,
,,,TRUE,,Cost Centre,68xxx179 - Drama,,,,,
,,,TRUE,,Cost Centre,68xxx201 - Administration,,,,,
,,,TRUE,,Cost Centre,68xxx301 - Staffing,,,,,
,,,TRUE,,Cost Centre,68xxx801 - DGR,,,,,
