Term Set Name,Term Set Description,LCID,Available for Tagging,Term Description,Level 1 Term,Level 2 Term,Level 3 Term,Level 4 Term,Level 5 Term,Level 6 Term,Level 7 Term
Finance,All Cost Centres and Internal Order numbers,,TRUE,Casual Relief,Operating Expenses,P51183 - Other Staff and Contractor costs,500026 - Contractors,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,523579 - Consumable Materials,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,523585 - Purchases for resale,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,528655 - Periodicals & Newspapers,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,528656 - Publications Library,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,528657 - Textbooks,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,528671 - Student Prize Awards,,,,
,,,TRUE,,Operating Expenses,P52610 - Teaching and Learning,528676 - Teaching Resources,,,,
,,,TRUE,,Operating Expenses,P52615 - Operating Lease Rent,520716 - Plant & Equipment Lease,,,,
,,,TRUE,,Operating Expenses,P52615 - Operating Lease Rent,520717 - Lease Rent Property,,,,
,,,TRUE,,Operating Expenses,P52110 - Insurance,521433 - Other Insurances,,,,
,,,TRUE,,Operating Expenses,P52225 - Cleaning,522147 - Garbage Waste & Effluent Removal,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522861 - Construction Fees Regular,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522862 - Construction Fees Forward Plan,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522863 - Archive Fees,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522865 - Bank Fees & Charges,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522867 - Contracted Services,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522868 - Construction Costs - Contract,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522869 - Construct Costs - Non Contract,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522870 - Copyright Fees,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522871 - Course Development Fees,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522872 - Payments to other Organisations,,,,
,,,TRUE,,Operating Expenses,P52620 - Fees for Services Rendered,522873 - Examination Supervision,,,,
